Actions,アクション,
Action,操作,
Activity,アクティビティ,
Add User,ユーザーを追加,
Added to favorites,お気に入りに追加しました,
Allowed Extensions,許可する拡張子,
Auto-saved before restore,復元前に自動保存済み,
Cannot move a folder into itself.,フォルダを自身の中に移動することはできません。,
Click to open full size,クリックしてフルサイズで表示,
Color,色,
Comment,コメント,
Copied!,コピーしました！,
Copy,コピー,
Created By,作成者,
Current,最新,
Current version,現在のバージョン,
Date,日付,
Delete,削除,
Deleted By,削除者,
Deleted On,削除日時,
Description,説明,
Details,詳細,
Download,ダウンロード,
"Download — {0}",ダウンロード — {0},
Drive File,ドライブファイル,
Drive Tag,ドライブタグ,
Drop file here or click to upload,ここにファイルをドロップまたはクリックしてアップロード,
Enable Versioning,バージョン管理を有効にする,
"Enter password",パスワードを入力,
"Expires in (days)",有効期限（日数）,
"Expires On",有効期限,
"Expires: {0}","有効期限: {0}",
Extension,拡張子,
Favorited DocType,お気に入りDocType,
Favorited Name,お気に入り名,
file,ファイル,
File Info,ファイル情報,
File Name,ファイル名,
"File name is required.",ファイル名は必須です。,
"File not found.",ファイルが見つかりません。,
File Page URL,ファイルページURL,
File Size,ファイルサイズ,
"File size {0} MB exceeds maximum allowed {1} MB.",ファイルサイズ {0} MB が上限 {1} MB を超えています。,
File Too Large,ファイルが大きすぎます,
"File type '.{0}' is not allowed. Allowed types: {1}",ファイル形式「.{0}」は許可されていません。許可形式: {1},
File Type Not Allowed,許可されていないファイル形式,
File URL,ファイルURL,
"File URL not found.",ファイルURLが見つかりません。,
"File URL not found for this version.",このバージョンのファイルURLが見つかりません。,
"File uploaded: {0}",ファイルをアップロードしました: {0},
File will be saved to Drive automatically,ファイルは自動的にドライブに保存されます,
folder,フォルダ,
Folder,フォルダ,
Folder Name,フォルダ名,
"Folder {0} does not exist.",フォルダ {0} が存在しません。,
Generate Download Link,ダウンロードリンクを生成,
"Incorrect password.",パスワードが正しくありません。,
"Incorrect password. Please try again.",パスワードが正しくありません。もう一度お試しください。,
"Invalid doctype for favorite.",お気に入り対象のDocTypeが無効です。,
"Invalid doctype for sharing.",共有対象のDocTypeが無効です。,
"Invalid doctype for trash.",ゴミ箱対象のDocTypeが無効です。,
"Invalid or expired share link.",無効または期限切れの共有リンクです。,
Is Private,非公開,
"Item is already in trash.",このアイテムは既にゴミ箱にあります。,
"Leave empty for no expiration",無期限にする場合は空欄のまま,
Left,左,
Link generated,リンクを生成しました,
Link Password,リンクパスワード,
Max File Size (MB),最大ファイルサイズ（MB）,
Max Storage (GB),最大ストレージ（GB）,
Metadata,メタデータ,
MIME Type,MIMEタイプ,
Moved to trash,ゴミ箱に移動しました,
Move to Trash,ゴミ箱に移動,
"Move {0} to trash?",{0} をゴミ箱に移動しますか？,
New version uploaded,新しいバージョンをアップロードしました,
No download links generated yet.,ダウンロードリンクはまだ生成されていません。,
No expiration,無期限,
"No file uploaded.",ファイルがアップロードされていません。,
No password,パスワードなし,
"No share link provided.",共有リンクが指定されていません。,
Not shared with anyone yet.,まだ誰とも共有されていません。,
No version history available.,バージョン履歴がありません。,
Old Parent,元の親,
Original DocType,元のDocType,
Original Folder,元のフォルダ,
"Original item no longer exists and cannot be restored.",元のアイテムが存在しないため復元できません。,
Original Name,元の名前,
Parent Folder,親フォルダ,
"Parent folder does not exist.",親フォルダが存在しません。,
"Password (optional)",パスワード（任意）,
Password protected,パスワード保護あり,
Performed By,実行者,
Permission,権限,
Permission Level,権限レベル,
"Please select a file.",ファイルを選択してください。,
"Please select a user",ユーザーを選択してください,
Preview,プレビュー,
Removed,削除しました,
Removed from favorites,お気に入りから削除しました,
Restore,復元,
"Restore this version? The current version will be saved in history.",このバージョンに復元しますか？現在のバージョンは履歴に保存されます。,
Right,右,
Share,共有,
"Shareable Download Link (no login required)",共有ダウンロードリンク（ログイン不要）,
Shared DocType,共有DocType,
Shared Name,共有名,
"Shared with {0}",{0} と共有しました,
Shared With,共有先,
Share Link,共有リンク,
"Share link does not point to a file.",共有リンクはファイルを指していません。,
"Share link is required.",共有リンクは必須です。,
"Share with Specific User",特定のユーザーと共有,
"Share — {0}",共有 — {0},
"Showing first {0} of {1} rows",全 {1} 行中、最初の {0} 行を表示,
Size,サイズ,
"Something went wrong.",エラーが発生しました。,
Storage,ストレージ,
Storage Limit Exceeded,ストレージ容量を超過しました,
"Storage quota exceeded. Used {0} of {1}.",ストレージ容量を超過しました。使用量 {0} / 上限 {1}。,
Tag Name,タグ名,
Tags,タグ,
Target DocType,対象DocType,
"Target folder does not exist.",移動先フォルダが存在しません。,
Target Name,対象名,
"Target parent folder does not exist.",移動先の親フォルダが存在しません。,
"This link requires a password. Add &password=xxx to the URL.",このリンクにはパスワードが必要です。URLに &password=xxx を追加してください。,
"This share link does not point to a file.",この共有リンクはファイルを指していません。,
"This share link has expired.",この共有リンクは期限切れです。,
Toggle Favorite,お気に入り切替,
Trash,ゴミ箱,
Trash Retention Days,ゴミ箱の保持日数,
truncated,省略,
Upload,アップロード,
Uploaded At,アップロード日時,
Uploaded By,アップロード者,
Upload failed,アップロードに失敗しました,
Upload New Version,新しいバージョンをアップロード,
"Uploading {0}...","{0} をアップロード中...",
"Uploading {0}... {1}%","{0} をアップロード中... {1}%",
"Uploading...",アップロード中...,
User,ユーザー,
"User {0} does not exist.",ユーザー {0} が存在しません。,
"Verify & Download",確認してダウンロード,
Version,バージョン,
Version Comment,バージョンコメント,
"Version does not belong to this file.",バージョンがこのファイルに属していません。,
"Version History",バージョン履歴,
"Version History — {0}",バージョン履歴 — {0},
"Versioning is disabled.",バージョン管理が無効です。,
Version Number,バージョン番号,
Version restored,バージョンを復元しました,
View,閲覧,
Edit,編集,
Manage,管理,
"Your browser does not support audio playback.",お使いのブラウザは音声再生に対応していません。,
"Your browser does not support video playback.",お使いのブラウザは動画再生に対応していません。,
Drive,ドライブ,
Drive Activity,ドライブアクティビティ,
Drive Favorite,ドライブお気に入り,
Drive File Tag,ドライブファイルタグ,
Drive File Version,ドライブファイルバージョン,
Drive Folder,ドライブフォルダ,
Drive Settings,ドライブ設定,
Drive Share,ドライブ共有,
Drive Trash,ドライブゴミ箱,
Lifegence Drive,ライフジェンスドライブ,
"{0} shared '{1}' with you",{0} が「{1}」を共有しました,
Open Drive,ドライブを開く,
"A folder cannot be its own parent.",フォルダを自身の親にすることはできません。,
Bytes,バイト,
Comma-separated,カンマ区切り,
"Days before auto-delete",自動削除までの日数,
Drive Manager,ドライブ管理者,
Drive User,ドライブユーザー,
Move,移動,
Rename,名前変更,
Unshare,共有解除,
"You haven't created a {0} yet",{0} はまだ作成されていません,
"No {0} found",{0} が見つかりません,
"<p>{0} has shared a {1} with you:</p><p><strong>{2}</strong></p><p>Permission: {3}</p><p><a href='{4}/app/drive-file'>Open Drive</a></p>","<p>{0} が {1} を共有しました:</p><p><strong>{2}</strong></p><p>権限: {3}</p><p><a href='{4}/app/drive-file'>ドライブを開く</a></p>",
